JournalCode|JournalLib|EcritureNum|EcritureDate|CompteNum|CompteLib|CompteAuxNum|CompteAuxLib|PieceRef|PieceDate|EcritureLib|Debit|Credit|EcritureLet|DateLet|ValidDate|Montantdevise|Idevise
BQ|Banque|001|20250115|5121|Banque Qonto|||QTO-001|20250115|Virement initial capital|1000.00|0.00|||20250115||
BQ|Banque|001|20250115|1013|Capital souscrit appelé versé|||QTO-001|20250115|Virement initial capital|0.00|1000.00|||20250115||
BQ|Banque|002|20250201|6135|Locations mobilières|||QTO-002|20250201|Abonnement Heroku - janvier|29.00|0.00|||20250201||
BQ|Banque|002|20250201|5121|Banque Qonto|||QTO-002|20250201|Abonnement Heroku - janvier|0.00|29.00|||20250201||
BQ|Banque|003|20250215|6135|Locations mobilières|||QTO-003|20250215|GitHub Team|21.00|0.00|||20250215||
BQ|Banque|003|20250215|5121|Banque Qonto|||QTO-003|20250215|GitHub Team|0.00|21.00|||20250215||
BQ|Banque|004|20250301|6135|Locations mobilières|||QTO-004|20250301|Abonnement Heroku - février|29.00|0.00|||20250301||
BQ|Banque|004|20250301|5121|Banque Qonto|||QTO-004|20250301|Abonnement Heroku - février|0.00|29.00|||20250301||
BQ|Banque|005|20250310|627|Services bancaires|||QTO-005|20250310|Frais bancaires Qonto|9.00|0.00|||20250310||
BQ|Banque|005|20250310|5121|Banque Qonto|||QTO-005|20250310|Frais bancaires Qonto|0.00|9.00|||20250310||
BQ|Banque|006|20250315|5121|Banque Qonto|||QTO-006|20250315|Payout Stripe mars|2850.00|0.00|||20250315||
BQ|Banque|006|20250315|411|Clients|||QTO-006|20250315|Payout Stripe mars|0.00|2850.00|||20250315||
VE|Ventes|007|20250301|411|Clients|||STR-001|20250301|Client Alpha - mars|1500.00|0.00|||20250301||
VE|Ventes|007|20250301|706|Prestations de services|||STR-001|20250301|Client Alpha - mars|0.00|1500.00|||20250301||
VE|Ventes|008|20250301|411|Clients|||STR-002|20250301|Client Beta - mars|1350.00|0.00|||20250301||
VE|Ventes|008|20250301|706|Prestations de services|||STR-002|20250301|Client Beta - mars|0.00|1350.00|||20250301||
BQ|Banque|009|20250401|6135|Locations mobilières|||QTO-007|20250401|Abonnement Heroku - mars|29.00|0.00|||20250401||
